trial,value,lasso_alpha,catboost_iterations,catboost_learning_rate,catboost_depth,catboost_l2_leaf_reg,ensemble_lasso_weight,cv_rmse_log_mean,cv_rmse_log_std,oof_rmse_log,oof_mae_price,oof_rmse_price,oof_mape_percent,oof_wape_percent
70,0.11112220894789396,0.0010516509671675397,900,0.07170755056381944,3,2.566897075706857,0.5053548475732964,0.11112220894789396,0.006859219027196687,0.11133766078410211,13249.618137134266,20585.775153291102,7.72571855933638,7.32294499278604
71,0.11128634398604946,0.0005150877523051182,600,0.02579918443690282,4,4.567464325889405,0.42026121349075507,0.11128634398604946,0.006640075375362375,0.11148846519666705,13341.029236026228,20998.09564825908,7.751482857895181,7.373467086478677
72,0.10960146204712432,0.00031969449268761063,600,0.031234842848929106,5,3.813867933303497,0.4685940381834364,0.10960146204712432,0.006835107245059515,0.10981859880092915,13004.084571754824,20431.71675029954,7.600076801288233,7.187240795536988
73,0.10957950641694039,0.00021436060271488817,700,0.0443827764675365,6,3.3507884996881336,0.5891586816944372,0.10957950641694039,0.0065049022488377324,0.10977546501695472,12855.258612998367,20117.805974641236,7.556663176274513,7.104986024252848
74,0.10916503698364102,0.000420739349189869,500,0.03995847279441196,5,0.5105637736600175,0.520316033802349,0.10916503698364102,0.006055750929898818,0.10933630359262102,12981.892396606143,20296.484745146434,7.58761796135809,7.174975379567859
75,0.11004511430010995,0.00016432180962679113,700,0.0287372947723001,6,5.912854292877791,0.4442863065380894,0.11004511430010995,0.006847436370903284,0.11026142697570303,12968.292187330315,20645.72405316847,7.577344226819482,7.167458666000233
76,0.10953317993971867,0.0007138782027762237,900,0.0491057248197108,4,4.135114752831451,0.5554332321900696,0.10953317993971867,0.006608091138789528,0.10973545521683367,13018.654996569056,20188.11020158435,7.615808528103204,7.1952937385223485
77,0.10926506837876562,0.00035953805205058374,600,0.03257016353511108,6,2.82380585357507,0.599816620891532,0.10926506837876562,0.006473761733381831,0.10946019603986641,12905.371734649076,20150.236887877956,7.575080246955365,7.132683096686689
78,0.10870130586469577,0.000544601696175577,800,0.035820402733962003,6,2.4585096952495125,0.6256732318936822,0.10870130586469577,0.006728057690082034,0.10891293163934862,12877.949234966629,19965.074781343388,7.563455730237401,7.117526927304232
79,0.10968907499339922,0.0009078362920234269,800,0.03605717657804276,6,2.475728526157032,0.6216481555723227,0.10968907499339922,0.0073652375770377095,0.10993987637390569,12965.436984604723,20162.811874753872,7.618419014156348,7.165880621087062
80,0.10881831684674921,0.0005200306758409194,800,0.05576337710862636,6,2.191629653008006,0.6854215777040438,0.10881831684674921,0.006664401145073666,0.10902569768381756,12899.538432081965,19923.66526253536,7.579511962524735,7.129459082727712
81,0.10880922802341238,0.0005196300354986459,800,0.0549800052019345,6,2.212594119215777,0.7052599203088171,0.10880922802341238,0.0065430124486371925,0.10900883115895045,12921.902389967127,19842.34119362596,7.598437536501357,7.141819441473072
82,0.1095794910363517,0.0005220075913561329,800,0.05511099845420305,6,2.192289536647374,0.7934237737888185,0.1095794910363517,0.006736516193818158,0.10979026713849062,13030.943467959785,19877.646113645675,7.683324880041259,7.202085466337321
83,0.10919785031592082,0.0007217270879416011,800,0.06725879445258502,6,3.056884970339294,0.7337874913024598,0.10919785031592082,0.0071237545839583595,0.10943392883011932,12983.67185887979,19895.831522094606,7.646863911696425,7.175958872390957
84,0.10886568423272994,0.0006040238949985476,900,0.04574834494595148,6,3.463190118019531,0.6991202161187762,0.10886568423272994,0.006816433066069535,0.10908243911400635,12895.043177201429,19816.307813091367,7.589407833699095,7.126974595712462
85,0.10880420323184783,0.00048728265878938027,800,0.06119566549276369,6,2.4042150696499167,0.6673097894945944,0.10880420323184783,0.006481846026502266,0.10900061344065075,12881.106830099623,19895.01961355782,7.571367286152735,7.1192721017861755
86,0.10924065555122246,0.00048600355429070675,800,0.05799667744566135,6,2.011800892418327,0.7011018644690157,0.10924065555122246,0.006821995873869445,0.1094571237959496,12929.130812854452,19916.276735924963,7.614936799807282,7.145814525908007
87,0.10947834228102324,0.0008330510027780194,800,0.06275238877395047,6,1.6008528270796576,0.6858151021413078,0.10947834228102324,0.00716490934586589,0.10971607496200159,12965.352704616287,19977.435030842455,7.639532399252634,7.165834040294096
88,0.10908492867930145,0.00061989834859513,700,0.06620416687879409,6,2.3818948854678443,0.6679554538464217,0.10908492867930145,0.00697542947660799,0.10931140428599516,12889.572513961068,19921.81258283971,7.585103724579648,7.1239510092537
89,0.11293050890929657,0.0012092209744338444,800,0.0728308244411649,6,2.6912108414759786,0.9060942396089031,0.11293050890929657,0.007943114154070218,0.11321381563849264,13491.533293264209,20532.87601100402,7.987355541266615,7.456649327728027
90,0.11220195846047412,0.0017106964149694673,900,0.04034626057032854,6,2.030291657932093,0.623741185840383,0.11220195846047412,0.008781179787014412,0.11254881612352181,13248.918744472901,20477.42731720565,7.801655675522183,7.322558444741069
91,0.10860347925931894,0.00042073322142358976,800,0.05991136968366587,6,3.1388535853501285,0.6427603042341634,0.10860347925931894,0.0063261055157734156,0.10879089820821518,12856.762581116582,19937.085101361772,7.5425662839422705,7.105817253929553
92,0.10858911904167426,0.00044911617789853125,800,0.05941587539112445,6,3.1956126852176086,0.6527372590444417,0.10858911904167426,0.0066410753775427295,0.10879567121833424,12868.692842338152,19937.176155410856,7.550753616966997,7.112411002199948
93,0.10948532880842321,0.00028979261491589113,800,0.05981283390147204,6,3.1904423375194955,0.640932316161441,0.10948532880842321,0.006195054567231027,0.10966388090069866,12876.481440533924,19972.113458672167,7.576458699050044,7.116715690498751
94,0.10881212645580192,0.0005516860191418318,800,0.04859813393250236,6,2.7126044875402893,0.6790903646645414,0.10881212645580192,0.006870763315876877,0.10903243132191323,12863.936518890745,19881.661922716445,7.566282842963254,7.109782224931593
95,0.1094171476483384,0.0007724082738893323,700,0.04989881799422884,6,2.7176632209444644,0.7373890451111289,0.1094171476483384,0.007062244953730279,0.1096489927015295,13011.202019360371,19956.838000809217,7.661597659937974,7.19117454492999
96,0.11047217397296352,0.0004361963926501441,900,0.06831744151505857,6,2.491167085614797,0.18286637380817294,0.11047217397296352,0.008220358580377141,0.1107796280712661,13158.640120468814,21902.70268952036,7.5671595707279025,7.272662259751896
97,0.1104289362444455,0.00022578967642690212,800,0.07600985178653814,6,2.3393391107029204,0.7521270681320809,0.1104289362444455,0.006587202983449669,0.11062896335568423,13005.892810279516,19979.68330263631,7.6852208623782445,7.188240192735693
98,0.11019510714731488,0.000986276405048706,700,0.0607533843289152,6,3.1629141151379123,0.7159888091241984,0.11019510714731488,0.007507593245479249,0.11045425350626174,13074.105827369505,20124.95413289939,7.701987153725755,7.225940914882694
99,0.10905692984036512,0.0006348865459017518,900,0.0476839677351605,6,3.600056222383799,0.614572833321285,0.10905692984036512,0.00700996832145218,0.10928492887085274,12908.313437727114,20036.55292447374,7.5770254618917505,7.134308949568078
